ext,space,verdict,readable,list,search,chapters,couv_abs,couv_rel,couv_vide,couv_ok,cloudflare,detail
anime_sama,manga,GREEN,3/3,48,48,49,48,0,0,3/3,,"texte: [0]15 [24]22 [48]22 | couvertures: 206/206/206"
astral_manga,manga,BLOCKED-CF,0/0,0,0,0,0,0,0,0/0,oui,"texte:  | couvertures: -"
asurascans,manga,GREEN,3/3,44,44,7,44,0,0,3/3,,"texte: [0]37 [3]24 [6]24 | couvertures: 206/206/206"
bato,manga,RED,0/0,0,0,0,0,0,0,0/0,,"texte:  | couvertures: -"
bentomanga,manga,BLOCKED-CF,0/0,0,0,0,0,0,0,0/0,oui,"texte:  | couvertures: -"
flamecomics,manga,GREEN,3/3,153,122,312,153,0,0,3/3,,"texte: [0]17 [156]15 [311]64 | couvertures: 206/206/206"
lelmanga,manga,GREEN,3/3,20,10,188,20,0,0,3/3,,"texte: [0]17 [94]17 [187]13 | couvertures: 200/200/200"
manga_scantrad,manga,BLOCKED-CF,0/0,0,0,0,0,0,0,0/0,oui,"texte:  | couvertures: -"
mangabuddy,manga,GREEN,3/3,24,24,50,24,0,0,3/3,,"texte: [0]139 [25]55 [49]79 | couvertures: 206/206/206"
mangadex,manga,GREEN,3/3,20,20,33,20,0,0,3/3,,"texte: [0]37 [16]33 [32]35 | couvertures: 206/206/206"
mangafire,manga,BLOCKED-CF,0/0,0,0,0,0,0,0,0/0,oui,"texte:  | couvertures: -"
mangahere,manga,GREEN,3/3,70,12,419,70,0,0,3/3,,"texte: [0]19 [209]17 [418]20 | couvertures: 206/206/206"
mangakakalot,manga,BLOCKED-CF,0/0,0,0,0,0,0,0,0/0,oui,"texte:  | couvertures: -"
mangakatana,manga,GREEN,3/3,83,36,46,73,0,10,3/3,,"texte: [0]21 [23]18 [45]41 | couvertures: 206/206/206"
mangapark1,manga,PARTIAL,1/3,10,10,20,10,0,0,3/3,,"texte: [0]60 [10]0 [19]0 | couvertures: 206/206/206"
mangapill,manga,GREEN,3/3,50,50,405,50,0,0,3/3,,"texte: [0]24 [202]24 [404]92 | couvertures: 206/206/206"
mangaread,manga,GREEN,3/3,11,12,3864,11,0,0,3/3,,"texte: [0]17 [1932]11 [3863]12 | couvertures: 206/206/206"
mangas_origines,manga,BLOCKED-CF,0/0,0,0,0,0,0,0,0/0,oui,"texte:  | couvertures: -"
mangatown,manga,GREEN,3/3,30,19,969,30,0,0,3/3,,"texte: [0]9 [484]9 [968]13 | couvertures: 206/206/206"
manhwaz,manga,RED,0/0,0,0,0,0,0,0,0/0,,"texte:  | couvertures: -"
pantheon_scan,manga,GREEN,3/3,12,12,203,12,0,0,3/3,,"texte: [0]12 [101]29 [202]12 | couvertures: 206/206/206"
roliascan,manga,GREEN,3/3,20,20,52,20,0,0,3/3,,"texte: [0]10 [26]10 [51]16 | couvertures: 206/206/206"
